[DEBUG] [5] [2021-01-25 10:54:34,955] Environment: Production
[INFO ] [5] [2021-01-25 10:54:34,971] Booting: Loading app configuration
[INFO ] [5] [2021-01-25 10:54:34,987] Booting: Initializing mail template engine
[INFO ] [5] [2021-01-25 10:54:35,018] Booting: Registering AutoMapper object mappings
[INFO ] [5] [2021-01-25 10:54:35,346] Booting: Initializing core database
[INFO ] [5] [2021-01-25 10:54:37,002] Booting: Running WCF service
[INFO ] [5] [2021-01-25 10:54:37,096] Booting: Initializing data sources
[INFO ] [5] [2021-01-25 10:54:37,674] Booting: Initializing file downloading
[INFO ] [5] [2021-01-25 10:54:37,674] Booting: Initializing pop3 file downloading
[INFO ] [40] [2021-01-25 11:17:47,744] Preparing import process for data catalog: Reifengundlach
[INFO ] [35] [2021-01-25 11:20:41,056] Preparing import process for data catalog: Falken
[INFO ] [34] [2021-01-25 11:25:41,099] Preparing import process for data catalog: Ronal
[INFO ] [39] [2021-01-25 12:17:47,704] Preparing import process for data catalog: Reifengundlach
[INFO ] [15] [2021-01-25 12:20:41,277] Preparing import process for data catalog: Falken
[INFO ] [43] [2021-01-25 12:25:41,331] Preparing import process for data catalog: Ronal
[INFO ] [11] [2021-01-25 13:17:47,877] Preparing import process for data catalog: Reifengundlach
[INFO ] [71] [2021-01-25 13:20:41,648] Preparing import process for data catalog: Falken
[INFO ] [35] [2021-01-25 13:25:41,707] Preparing import process for data catalog: Ronal
[INFO ] [54] [2021-01-25 14:17:48,186] Preparing import process for data catalog: Reifengundlach
[INFO ] [47] [2021-01-25 14:20:41,823] Preparing import process for data catalog: Falken
[INFO ] [30] [2021-01-25 14:25:41,887] Preparing import process for data catalog: Ronal
[INFO ] [4] [2021-01-25 15:17:42,614] Preparing import process for data catalog: Reifengundlach
[INFO ] [12] [2021-01-25 15:20:42,005] Preparing import process for data catalog: Falken
[INFO ] [39] [2021-01-25 15:25:42,116] Preparing import process for data catalog: Ronal
[INFO ] [67] [2021-01-25 16:17:42,938] Preparing import process for data catalog: Reifengundlach
[INFO ] [84] [2021-01-25 16:20:42,121] Preparing import process for data catalog: Falken
[INFO ] [92] [2021-01-25 16:25:42,197] Preparing import process for data catalog: Ronal
[INFO ] [156] [2021-01-25 17:17:43,174] Preparing import process for data catalog: Reifengundlach
[INFO ] [153] [2021-01-25 17:20:42,554] Preparing import process for data catalog: Falken
[INFO ] [142] [2021-01-25 17:25:42,630] Preparing import process for data catalog: Ronal
[ERROR] [141] [2021-01-25 17:28:40,534] Domain exception: IncorectWheelSize
[ERROR] [141] [2021-01-25 17:28:41,726] Domain exception: IncorectWheelSize
[ERROR] [141] [2021-01-25 17:28:42,685] Domain exception: IncorectWheelSize
[ERROR] [141] [2021-01-25 17:28:42,861] Domain exception: IncorectWheelSize
[ERROR] [141] [2021-01-25 17:28:43,057] Domain exception: IncorectWheelSize
[ERROR] [141] [2021-01-25 17:28:43,216] Domain exception: IncorectWheelSize
[ERROR] [141] [2021-01-25 17:28:43,414] Domain exception: IncorectWheelSize
[ERROR] [141] [2021-01-25 17:28:45,445] Domain exception: IncorectWheelSize
[INFO ] [134] [2021-01-25 18:17:43,445] Preparing import process for data catalog: Reifengundlach
[INFO ] [140] [2021-01-25 18:20:42,766] Preparing import process for data catalog: Falken
[INFO ] [142] [2021-01-25 18:25:42,899] Preparing import process for data catalog: Ronal
[INFO ] [145] [2021-01-25 19:17:43,723] Preparing import process for data catalog: Reifengundlach
[INFO ] [109] [2021-01-25 19:20:43,108] Preparing import process for data catalog: Falken
[INFO ] [20] [2021-01-25 19:25:43,192] Preparing import process for data catalog: Ronal
[INFO ] [45] [2021-01-25 20:17:43,963] Preparing import process for data catalog: Reifengundlach
[INFO ] [38] [2021-01-25 20:20:43,241] Preparing import process for data catalog: Falken
[INFO ] [103] [2021-01-25 20:25:43,367] Preparing import process for data catalog: Ronal
[INFO ] [168] [2021-01-25 21:17:44,210] Preparing import process for data catalog: Reifengundlach
[INFO ] [163] [2021-01-25 21:20:43,585] Preparing import process for data catalog: Falken
[INFO ] [87] [2021-01-25 22:17:44,513] Preparing import process for data catalog: Reifengundlach
[INFO ] [77] [2021-01-25 22:20:43,721] Preparing import process for data catalog: Falken
[INFO ] [78] [2021-01-25 23:20:43,887] Preparing import process for data catalog: Falken
[INFO ] [89] [2021-01-26 00:20:44,111] Preparing import process for data catalog: Falken
[INFO ] [126] [2021-01-26 01:20:44,529] Preparing import process for data catalog: Falken
[INFO ] [98] [2021-01-26 02:20:44,625] Preparing import process for data catalog: Falken
[INFO ] [61] [2021-01-26 03:20:44,964] Preparing import process for data catalog: Falken
[INFO ] [12] [2021-01-26 04:20:45,085] Preparing import process for data catalog: Falken
[INFO ] [55] [2021-01-26 05:20:45,306] Preparing import process for data catalog: Falken
[INFO ] [48] [2021-01-26 06:17:46,361] Preparing import process for data catalog: Reifengundlach
[INFO ] [59] [2021-01-26 06:20:45,616] Preparing import process for data catalog: Falken
[INFO ] [109] [2021-01-26 06:25:45,667] Preparing import process for data catalog: Ronal
[INFO ] [155] [2021-01-26 07:17:46,605] Preparing import process for data catalog: Reifengundlach
[INFO ] [56] [2021-01-26 07:20:45,913] Preparing import process for data catalog: Falken
[INFO ] [93] [2021-01-26 07:25:45,961] Preparing import process for data catalog: Ronal
[INFO ] [142] [2021-01-26 08:17:46,820] Preparing import process for data catalog: Reifengundlach
[INFO ] [141] [2021-01-26 08:20:46,071] Preparing import process for data catalog: Falken
[INFO ] [32] [2021-01-26 08:25:46,132] Preparing import process for data catalog: Ronal
[INFO ] [50] [2021-01-26 09:17:46,992] Preparing import process for data catalog: Reifengundlach
[INFO ] [36] [2021-01-26 09:20:46,242] Preparing import process for data catalog: Falken
[INFO ] [63] [2021-01-26 09:25:46,306] Preparing import process for data catalog: Ronal
[INFO ] [34] [2021-01-26 10:17:47,445] Preparing import process for data catalog: Reifengundlach
[INFO ] [20] [2021-01-26 10:20:46,493] Preparing import process for data catalog: Falken
[INFO ] [129] [2021-01-26 10:25:46,617] Preparing import process for data catalog: Ronal
[INFO ] [89] [2021-01-26 11:17:47,430] Preparing import process for data catalog: Reifengundlach
[INFO ] [87] [2021-01-26 11:20:46,779] Preparing import process for data catalog: Falken
[INFO ] [117] [2021-01-26 11:25:46,892] Preparing import process for data catalog: Ronal
[INFO ] [124] [2021-01-26 12:20:46,980] Preparing import process for data catalog: Falken
[INFO ] [58] [2021-01-26 12:25:47,081] Preparing import process for data catalog: Ronal
[INFO ] [163] [2021-01-26 13:17:47,866] Preparing import process for data catalog: Reifengundlach
[INFO ] [158] [2021-01-26 13:20:47,125] Preparing import process for data catalog: Falken
[INFO ] [148] [2021-01-26 13:25:47,203] Preparing import process for data catalog: Ronal
[INFO ] [60] [2021-01-26 14:17:48,165] Preparing import process for data catalog: Reifengundlach
[INFO ] [69] [2021-01-26 14:20:47,391] Preparing import process for data catalog: Falken
[INFO ] [78] [2021-01-26 14:25:47,439] Preparing import process for data catalog: Ronal
[INFO ] [65] [2021-01-26 15:17:48,367] Preparing import process for data catalog: Reifengundlach
[INFO ] [119] [2021-01-26 15:20:47,575] Preparing import process for data catalog: Falken
